#capability,read_skb,libbpf
#name,update_pkt,libbpf
#grep skb bpf_helpers.txt |sort|uniq|grep -v support|cut -d '-' -f 2,libbpf
lwt_push_encap,0,cilium
lwt_seg6_action,0,cilium
lwt_seg6_adjust_srh,0,cilium
lwt_seg6_store_bytes,0,cilium
msg_apply_bytes,0,cilium
msg_cork_bytes,0,cilium
msg_pop_data,0,cilium
msg_pull_data,0,cilium
msg_push_data,0,cilium
msg_redirect_hash,0,cilium
override_return,0,cilium
perf_event_output,0,cilium
probe_write_user,0,cilium
redirect,0,cilium
send_signal,0,cilium
set_hash,0,cilium
set_hash_invalid,0,cilium
setsockopt,0,cilium
sk_fullsock,0,cilium
sk_redirect_hash,0,cilium
sk_release,0,cilium
sk_select_reuseport,0,cilium
sk_storage_delete,0,cilium
sock_hash_update,0,cilium
sock_ops_cb_flags_set,0,cilium
strtol,0,cilium
strtoul,0,cilium
sysctl_set_new_value,0,cilium
tail_call,0,cilium
tcp_check_syncookie,1,cilium
tcp_gen_syncookie,0,cilium
tcp_sock,0,cilium
xdp_adjust_head,0,cilium
xdp_adjust_meta,0,cilium
xdp_adjust_tail,0,cilium
#rest,cilium
fib_lookup,0,cilium
get_cgroup_classid,0,cilium
get_current_cgroup_id,0,cilium
get_current_comm,0,cilium
get_current_pid_tgid,0,cilium
get_current_task,0,cilium
get_current_uid_gid,0,cilium
get_hash_recalc,0,cilium
get_listener_sock,0,cilium
get_local_storage,0,cilium
get_numa_node_id,0,cilium
get_prandom_u32,0,cilium
get_route_realm,0,cilium
get_smp_processor_id,0,cilium
get_socket_cookie,0,cilium
get_socket_uid,0,cilium
get_stack,0,cilium
get_stackid,0,cilium
getsockopt,0,cilium
ktime_get_ns,0,cilium
map_delete_elem,0,cilium
map_lookup_elem,0,cilium
map_peek_elem,0,cilium
map_pop_elem,0,cilium
map_push_elem,0,cilium
map_update_elem,0,cilium
msg_redirect_map,0,cilium
perf_event_read,0,cilium
perf_event_read_value,0,cilium
perf_prog_read_value,0,cilium
probe_read,0,cilium
probe_read_str,0,cilium
redirect_map,0,cilium
sk_lookup_tcp,0,cilium
sk_lookup_udp,0,cilium
sk_redirect_map,0,cilium
sk_storage_get,0,cilium
skc_lookup_tcp,0,cilium
sock_map_update,0,cilium
spin_lock,0,cilium
spin_unlock,0,cilium
sysctl_get_current_value,0,cilium
sysctl_get_name,0,cilium
sysctl_get_new_value,0,cilium
trace_printk,0,cilium
